"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_bon"
"ENSMUSG00000023906",268.722665597616,-0.458386798923903,0.0936896558443312,-4.89260841864474,9.95082667712451e-07,0.00740593696804852,0.0146705037700847
"ENSMUSG00000031965",95.038422922079,-0.63833465037099,0.130519532620487,-4.89072123961003,1.00467163644421e-06,0.00740593696804852,0.014811873936097
"ENSMUSG00000041037",961.161359967283,0.250060939566619,0.0540867577713386,4.62333018044446,3.77627910412493e-06,0.0129659549063746,0.0556736828321138
"ENSMUSG00000035783",1244.68908852941,-0.553199372411075,0.120414281536445,-4.59413422853535,4.34549611178194e-06,0.0129659549063746,0.0640656491760011
"ENSMUSG00000006782",157.064373437322,-0.338720553215155,0.0737686353000288,-4.5916608303451,4.39732581780324e-06,0.0129659549063746,0.0648297745318732
"ENSMUSG00000000753",35.586484209899,-1.18002191978799,0.264929501064408,-4.45409784507582,8.42466768623578e-06,0.0207008126163623,0.124204875698174
"ENSMUSG00000026470",1882.05780860131,-0.190862002679995,0.043610818883043,-4.37648289044642,1.20609654041699e-05,0.0254021161362395,0.177814812953677
"ENSMUSG00000029578",3404.16893030867,-0.0977829945602362,0.0226008455091887,-4.32651931187624,1.51484044306201e-05,0.027916615815079,0.223332926520632
"ENSMUSG00000040489",30.5497681121953,0.791871564972495,0.186969700491175,4.23529354163923,2.28253335830252e-05,0.0373904325571711,0.33651389301454
"ENSMUSG00000031827",1275.63365246315,-0.300241752209289,0.0746744495587451,-4.02067579986772,5.80314235878677e-05,0.0805328685040196,0.855557277955934
"ENSMUSG00000021388",15.6470266857041,-1.4192284452351,0.354761214850391,-4.0005174912754,6.32041149825608e-05,0.0805328685040196,0.931818267187894
"ENSMUSG00000007589",759.141298235229,-0.172547187727898,0.0432562265319311,-3.98895607781521,6.63647070398862e-05,0.0805328685040196,0.978414875889042
"ENSMUSG00000021613",24.2902611178483,-1.36277764377694,0.343020954192417,-3.97286995771255,7.10118219190297e-05,0.0805328685040196,1
"ENSMUSG00000059430",114.16534879493,-0.802966961574385,0.203783688303107,-3.94029064966209,8.13829461155427e-05,0.0823336157444711,1
"ENSMUSG00000042436",31.3580583450347,-1.19582382566498,0.30461551460428,-3.92568260096157,8.64841334684212e-05,0.0823336157444711,1
"ENSMUSG00000027570",35.4470624222019,-0.734513673829338,0.187689012114697,-3.91346123863914,9.09825107352691e-05,0.0823336157444711,1
"ENSMUSG00000022505",327.912659439813,-0.330561240524646,0.0846902922035933,-3.90317747080132,9.49380361972467e-05,0.0823336157444711,1
"ENSMUSG00000026051",45.5288306318348,-0.569066553535679,0.146634466736198,-3.88085125006424,0.000104091493486248,0.0852567160259864,1
"ENSMUSG00000067818",501.440588443171,-0.385959165537811,0.0998412404851318,-3.86572886777471,0.000110757929065497,0.0859423235901384,1
"ENSMUSG00000024866",43.2966982635772,-0.526657020774577,0.138935580986815,-3.79065619500708,0.000150249811110605,0.110756648260183,1
"ENSMUSG00000022758",101.684677451003,-0.400229217042566,0.106433131909157,-3.76038184598542,0.000169654192374181,0.115327298616531,1
"ENSMUSG00000001227",118.41370270994,0.407621906686186,0.10896869672009,3.74072480405315,0.000183490343396926,0.115327298616531,1
"ENSMUSG00000029661",1809.79312286176,-0.607711443104185,0.162830120929562,-3.73218075153964,0.000189829204386719,0.115327298616531,1
"ENSMUSG00000056643",348.447650182529,-0.45972436885532,0.123424551237466,-3.72474004763299,0.00019551658997296,0.115327298616531,1
"ENSMUSG00000037735",35.4089822923583,0.556978833572597,0.149838367075329,3.71719770072363,0.000201444804566785,0.115327298616531,1
"ENSMUSG00000019312",111.712800515592,-0.480192080452302,0.130026480429147,-3.69303297964729,0.000221595272187237,0.115327298616531,1
"ENSMUSG00000022286",1201.54708745803,0.313760721239291,0.085371984365479,3.67521879187059,0.000237645669425606,0.115327298616531,1
"ENSMUSG00000037446",536.9041814696,-0.304341791012281,0.0828141951041343,-3.67499545977097,0.000237853644379566,0.115327298616531,1
"ENSMUSG00000029730",685.299035973222,-0.30642944001247,0.0834818867454669,-3.67060990064541,0.000241972400880465,0.115327298616531,1
"ENSMUSG00000051811",33.9015844773631,-0.667249620600591,0.181793582172059,-3.67036950715383,0.000242200092860803,0.115327298616531,1
"ENSMUSG00000024597",1104.5974102319,0.213345949781575,0.0581315334366307,3.67005542721738,0.000242497880832427,0.115327298616531,1
"ENSMUSG00000024241",2163.41644383331,0.200333765217535,0.0547142231890373,3.66145681215984,0.000250785141103781,0.115491899731388,1
